"Genes","Process_name","Significant_genes_count","Total_genes_group_count","Percent_significant_genes","P-value","Padj-value"
"Plk3;","GO:0009314~response to radiation",1,18,5.55555555555556,0.135372143594329,0.211452563385177
"Igf1;","GO:0009408~response to heat",1,41,2.4390243902439,0.275085946117286,0.332576569121141
"Metrnl;","GO:0009409~response to cold",1,29,3.44827586206897,0.205247683599223,0.2741227452097
"Ifitm2;","GO:0009607~response to biotic stimulus",1,12,8.33333333333333,0.0947182523945602,0.175829591665275
"Kalrn;","GO:0009612~response to mechanical stimulus",1,23,4.34782608695652,0.167860199822605,0.243470697993428
"Ifitm2; Rsad2; Tnf;","GO:0009615~response to virus",3,54,5.55555555555556,0.00942196611619028,0.120766874434933
"Irs2;","GO:0009749~response to glucose",1,47,2.12765957446809,0.307681841738858,0.358481771112603
"Prkar1b; Tnf;","GO:0009887~animal organ morphogenesis",2,105,1.9047619047619,0.196431876999791,0.268106608525091
"Lrp5;","GO:0009952~anterior/posterior pattern specification",1,112,0.892857142857143,0.579759683437323,0.606583475310344
"Treml1;","GO:0009968~negative regulation of signal transduction",1,56,1.78571428571429,0.353863426338795,0.3996527913815
"Igf1;","GO:0010001~glial cell differentiation",1,21,4.76190476190476,0.155013212441001,0.230895428710772
"P2rx1; Tnf;","GO:0010033~response to organic substance",2,59,3.38983050847458,0.078967499649238,0.162313810950542
"Slc4a1;","GO:0010037~response to carbon dioxide",1,1,100,0.015188742610548,0.120766874434933
"Serping1;","GO:0010466~negative regulation of peptidase activity",1,116,0.862068965517241,0.592493310962025,0.61925508866304
"Igf1; Nfe2;","GO:0010468~regulation of gene expression",2,319,0.626959247648903,0.705065833484561,0.723237633316637
"Dram1; Smcr8;","GO:0010506~regulation of autophagy",2,46,4.34782608695652,0.0518587241779599,0.137676052355715
"Fcer1g;","GO:0010543~regulation of platelet activation",1,5,20,0.044881610440662,0.132908340441841
"Igf1;","GO:0010560~positive regulation of glycoprotein biosynthetic process",1,5,20,0.044881610440662,0.132908340441841
"Aqp1;","GO:0010592~positive regulation of lamellipodium assembly",1,20,5,0.148515975665103,0.224921454774395
"Alox12;","GO:0010595~positive regulation of endothelial cell migration",1,41,2.4390243902439,0.275085946117286,0.332576569121141
"Igf1;","GO:0010613~positive regulation of cardiac muscle hypertrophy",1,20,5,0.148515975665103,0.224921454774395
"Alox12; Ank2; Gas6; Ldlr; Ppp1r15a; Star; Tnf;","GO:0010628~positive regulation of gene expression",7,414,1.69082125603865,0.0429151306672484,0.132908340441841
"Gas2l1; Igf1; Ldlr; Smcr8; Tnf;","GO:0010629~negative regulation of gene expression",5,279,1.7921146953405,0.0667853589548848,0.150683519637438
"Aqp1;","GO:0010634~positive regulation of epithelial cell migration",1,37,2.7027027027027,0.252512336460656,0.312888885153615
"Ptgir;","GO:0010642~negative regulation of platelet-derived growth factor receptor signaling pathway",1,8,12.5,0.0665656515907663,0.150683519637438
"Alox12; Hmox1; Igf1;","GO:0010656~negative regulation of muscle cell apoptotic process",3,11,27.2727272727273,0.00014892666309041,0.0450857383281351
"Dmpk;","GO:0010657~muscle cell apoptotic process",1,1,100,0.015188742610548,0.120766874434933
"Tnf;","GO:0010693~negative regulation of alkaline phosphatase activity",1,4,25,0.0375428967404717,0.128368323906424
"Ptgs1;","GO:0010700~negative regulation of norepinephrine secretion",1,7,14.2857142857143,0.0593925702484068,0.146276255933576
"Col1a1;","GO:0010718~positive regulation of epithelial to mesenchymal transition",1,35,2.85714285714286,0.2409648667063,0.304511209264592
"Irs2;","GO:0010748~negative regulation of plasma membrane long-chain fatty acid transport",1,4,25,0.0375428967404717,0.128368323906424
"Gas6;","GO:0010804~negative regulation of tumor necrosis factor-mediated signaling pathway",1,13,7.69230769230769,0.10162349771615,0.181210358830769
"Smoc2;","GO:0010811~positive regulation of cell-substrate adhesion",1,43,2.32558139534884,0.286117298909127,0.340534344993519
"Col1a1;","GO:0010812~negative regulation of cell-substrate adhesion",1,14,7.14285714285714,0.108476380987898,0.189357893127998
"Dmpk;","GO:0010830~regulation of myotube differentiation",1,6,16.6666666666667,0.0521646952141753,0.137676052355715
"Ldlr; Nr1h3;","GO:0010867~positive regulation of triglyceride biosynthetic process",2,17,11.7647058823529,0.00907244170557442,0.120766874434933
"Nr1h3;","GO:0010870~positive regulation of receptor biosynthetic process",1,7,14.2857142857143,0.0593925702484068,0.146276255933576
"Nr1h3;","GO:0010875~positive regulation of cholesterol efflux",1,14,7.14285714285714,0.108476380987898,0.189357893127998
"Ank2;","GO:0010881~regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion",1,8,12.5,0.0665656515907663,0.150683519637438
"Ank2;","GO:0010882~regulation of cardiac muscle contraction by calcium ion signaling",1,7,14.2857142857143,0.0593925702484068,0.146276255933576
"Nr1h3;","GO:0010887~negative regulation of cholesterol storage",1,4,25,0.0375428967404717,0.128368323906424
"Ldlr;","GO:0010899~regulation of phosphatidylcholine catabolic process",1,2,50,0.0226968899691784,0.120766874434933
"Igfbp4;","GO:0010906~regulation of glucose metabolic process",1,23,4.34782608695652,0.167860199822605,0.243470697993428
"Irs2;","GO:0010907~positive regulation of glucose metabolic process",1,9,11.1111111111111,0.0736843521720593,0.156323945439657
"Gas6;","GO:0010934~macrophage cytokine production",1,2,50,0.0226968899691784,0.120766874434933
"Alox12; Hp;","GO:0010942~positive regulation of cell death",2,52,3.84615384615385,0.0638886606200961,0.150683519637438
"Itgam;","GO:0014005~microglia development",1,2,50,0.0226968899691784,0.120766874434933
"Igf1;","GO:0014065~phosphatidylinositol 3-kinase signaling",1,32,3.125,0.223310346888766,0.290070228660996
"Igf1;","GO:0014068~positive regulation of phosphatidylinositol 3-kinase signaling",1,64,1.5625,0.392335441513455,0.433748627006542
"Idh1;","GO:0014070~response to organic cyclic compound",1,36,2.77777777777778,0.246760598759188,0.308838736811814
"Dmpk;","GO:0014722~regulation of skeletal muscle contraction by calcium ion signaling",1,1,100,0.015188742610548,0.120766874434933
"Mylk;","GO:0014820~tonic smooth muscle contraction",1,1,100,0.015188742610548,0.120766874434933
"Slc4a1;","GO:0014823~response to activity",1,13,7.69230769230769,0.10162349771615,0.181210358830769
"Igf1;","GO:0014834~skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration",1,5,20,0.044881610440662,0.132908340441841
"Metrnl;","GO:0014850~response to muscle activity",1,17,5.88235294117647,0.128724790863341,0.205587747847551
"Dmpk;","GO:0014853~regulation of excitatory postsynaptic membrane potential involved in skeletal muscle contraction",1,1,100,0.015188742610548,0.120766874434933
"Igf1;","GO:0014896~muscle hypertrophy",1,1,100,0.015188742610548,0.120766874434933
"Igf1;","GO:0014904~myotube cell development",1,6,16.6666666666667,0.0521646952141753,0.137676052355715
"Kalrn;","GO:0014909~smooth muscle cell migration",1,8,12.5,0.0665656515907663,0.150683519637438
"Igf1;","GO:0014911~positive regulation of smooth muscle cell migration",1,40,2.5,0.269506890827654,0.329029885120879
"Hs6st2;","GO:0015015~heparan sulfate proteoglycan biosynthetic process, enzymatic modification",1,4,25,0.0375428967404717,0.128368323906424
"Col1a1; Snx32;","GO:0015031~protein transport",2,581,0.344234079173838,0.939094136297211,0.94574763726288
"Aqp1;","GO:0015670~carbon dioxide transport",1,8,12.5,0.0665656515907663,0.150683519637438
"Trf;","GO:0015682~ferric iron transport",1,1,100,0.015188742610548,0.120766874434933
"Aqp1; Slc12a5;","GO:0015696~ammonium transport",2,7,28.5714285714286,0.00200791950953483,0.0744645692284336
"Slc4a1;","GO:0015701~bicarbonate transport",1,17,5.88235294117647,0.128724790863341,0.205587747847551
"Slco2a1;","GO:0015732~prostaglandin transport",1,3,33.3333333333333,0.0301481317627055,0.12498912959955
"Aqp1;","GO:0015793~glycerol transport",1,4,25,0.0375428967404717,0.128368323906424
"Plin2;","GO:0015909~long-chain fatty acid transport",1,10,10,0.0807490818296668,0.162313810950542
"Ldlr; Mttp;","GO:0015914~phospholipid transport",2,32,6.25,0.0276291851883104,0.12498912959955
"Ceacam2;","GO:0016032~viral process",1,26,3.84615384615385,0.186767498684174,0.258461281211062
"Snx32;","GO:0016050~vesicle organization",1,21,4.76190476190476,0.155013212441001,0.230895428710772
"Lrp5;","GO:0016055~Wnt signaling pathway",1,211,0.4739336492891,0.804094353395968,0.818908783653007
"Fcer1g;","GO:0016064~immunoglobulin mediated immune response",1,22,4.54545454545455,0.161461163273946,0.236603619230599
"Hmox1;","GO:0016239~positive regulation of macroautophagy",1,24,4.16666666666667,0.174210690959664,0.248337589548519
"Hmox1; Smcr8;","GO:0016242~negative regulation of macroautophagy",2,11,18.1818181818182,0.0042641865636911,0.0942859029082809
"Csf1r; Dmpk; Kalrn; Mylk; Plk3;","GO:0016310~phosphorylation",5,611,0.818330605564648,0.506932689567763,0.539463129540026
"Itgam;","GO:0016337~single organismal cell-cell adhesion",1,98,1.02040816326531,0.531996640837159,0.563124103864865
"Lst1;","GO:0016358~dendrite development",1,36,2.77777777777778,0.246760598759188,0.308838736811814
"Cd151;","GO:0016477~cell migration",1,211,0.4739336492891,0.804094353395968,0.818908783653007
"Dmpk; Gas6;","GO:0018105~peptidyl-serine phosphorylation",2,155,1.29032258064516,0.336749185380588,0.384249357171657
"Csf1r;","GO:0018108~peptidyl-tyrosine phosphorylation",1,67,1.49253731343284,0.406167785712707,0.447549221244899
"Gas6;","GO:0019064~fusion of virus membrane with host plasma membrane",1,3,33.3333333333333,0.0301481317627055,0.12498912959955
"Gas6;","GO:0019079~viral genome replication",1,4,25,0.0375428967404717,0.128368323906424
"Irs2;","GO:0019216~regulation of lipid metabolic process",1,34,2.94117647058824,0.235124805812759,0.299550808941992
"Csf1r;","GO:0019221~cytokine-mediated signaling pathway",1,143,0.699300699300699,0.668967236032331,0.689764144924528
"P2rx1;","GO:0019228~neuronal action potential",1,35,2.85714285714286,0.2409648667063,0.304511209264592
"P2rx1;","GO:0019229~regulation of vasoconstriction",1,18,5.55555555555556,0.135372143594329,0.211452563385177
"Aqp1; Ptgs1;","GO:0019233~sensory perception of pain",2,77,2.5974025974026,0.121893712539269,0.200027189601556
"Alox12;","GO:0019369~arachidonic acid metabolic process",1,29,3.44827586206897,0.205247683599223,0.2741227452097
"Ptgs1;","GO:0019371~cyclooxygenase pathway",1,3,33.3333333333333,0.0301481317627055,0.12498912959955
"Alox12;","GO:0019372~lipoxygenase pathway",1,9,11.1111111111111,0.0736843521720593,0.156323945439657
"Alox12;","GO:0019395~fatty acid oxidation",1,16,6.25,0.122026637274517,0.200027189601556
"Tnf; Treml1;","GO:0019722~calcium-mediated signaling",2,44,4.54545454545455,0.0480515037933746,0.137676052355715
"Aqp1;","GO:0019725~cellular homeostasis",1,8,12.5,0.0665656515907663,0.150683519637438
"Fcer1g;","GO:0019886~antigen processing and presentation of exogenous peptide antigen via MHC class II",1,14,7.14285714285714,0.108476380987898,0.189357893127998
"Plin2;","GO:0019915~lipid storage",1,26,3.84615384615385,0.186767498684174,0.258461281211062
"Ube2l6;","GO:0019941~modification-dependent protein catabolic process",1,4,25,0.0375428967404717,0.128368323906424
"Cln8;","GO:0021522~spinal cord motor neuron differentiation",1,28,3.57142857142857,0.199134482494494,0.269576612356491
"Cln8;","GO:0021523~somatic motor neuron differentiation",1,3,33.3333333333333,0.0301481317627055,0.12498912959955
"Tifab;","GO:0021559~trigeminal nerve development",1,6,16.6666666666667,0.0521646952141753,0.137676052355715
"Tifab;","GO:0021650~vestibulocochlear nerve formation",1,4,25,0.0375428967404717,0.128368323906424
"Aqp1;","GO:0021670~lateral ventricle development",1,12,8.33333333333333,0.0947182523945602,0.175829591665275
"Csf1r;","GO:0021772~olfactory bulb development",1,23,4.34782608695652,0.167860199822605,0.243470697993428
"Csf1r;","GO:0021879~forebrain neuron differentiation",1,12,8.33333333333333,0.0947182523945602,0.175829591665275
"Igf1;","GO:0021940~positive regulation of cerebellar granule cell precursor proliferation",1,5,20,0.044881610440662,0.132908340441841
"Polg2;","GO:0022904~respiratory electron transport chain",1,19,5.26315789473684,0.141969078480701,0.219006562927592
"Clec1b;","GO:0023014~signal transduction by protein phosphorylation",1,21,4.76190476190476,0.155013212441001,0.230895428710772
"Dnajb13;","GO:0030030~cell projection organization",1,160,0.625,0.7096102803339,0.727149566356571
"Parvb;","GO:0030031~cell projection assembly",1,10,10,0.0807490818296668,0.162313810950542
"Parvb;","GO:0030032~lamellipodium assembly",1,32,3.125,0.223310346888766,0.290070228660996
"Pdlim4; Rhoj;","GO:0030036~actin cytoskeleton organization",2,142,1.40845070422535,0.300389053119891,0.353294453728477
"Crip2; Csf1r; Epas1;","GO:0030097~hemopoiesis",3,83,3.6144578313253,0.0281002007342699,0.12498912959955
"Aqp1; Igf1;","GO:0030104~water homeostasis",2,4,50,0.000849328239563185,0.0528175998978356
"Hacd4;","GO:0030148~sphingolipid biosynthetic process",1,27,3.7037037037037,0.192974539273191,0.263749542001133
"Epas1; Gadd45b; Spic; Tnfrsf12a;","GO:0030154~cell differentiation",4,824,0.485436893203883,0.880240252922579,0.890985810435367
"Igf1;","GO:0030166~proteoglycan biosynthetic process",1,9,11.1111111111111,0.0736843521720593,0.156323945439657
"P2rx1; Treml1;","GO:0030168~platelet activation",2,33,6.06060606060606,0.0291593695195097,0.12498912959955
"Aqp1;","GO:0030185~nitric oxide transport",1,2,50,0.0226968899691784,0.120766874434933
"Adamtsl4; Smoc2; Tnf;","GO:0030198~extracellular matrix organization",3,98,3.06122448979592,0.0421681045980313,0.132908340441841
"Col1a1; Serpinh1;","GO:0030199~collagen fibril organization",2,40,5,0.040765623950543,0.132908340441841
"Ptgs1;","GO:0030216~keratinocyte differentiation",1,76,1.31578947368421,0.445814555744781,0.481112237490301
"Epas1;","GO:0030218~erythrocyte differentiation",1,50,2,0.323429147570616,0.372467594713846
"Clec1b;","GO:0030220~platelet formation",1,19,5.26315789473684,0.141969078480701,0.219006562927592
"Rsad2;","GO:0030278~regulation of ossification",1,19,5.26315789473684,0.141969078480701,0.219006562927592
"Ldlr;","GO:0030299~intestinal cholesterol absorption",1,6,16.6666666666667,0.0521646952141753,0.137676052355715
"Ldlr;","GO:0030301~cholesterol transport",1,20,5,0.148515975665103,0.224921454774395
"Alox12; Igf1;","GO:0030307~positive regulation of cell growth",2,91,2.1978021978022,0.15831442083371,0.235460162525473
"Gas2l1;","GO:0030308~negative regulation of cell growth",1,121,0.826446280991736,0.607872226501203,0.633996714222952
"Csf1r; Tnf; Trf;","GO:0030316~osteoclast differentiation",3,29,10.3448275862069,0.00183492905545812,0.0744645692284336
"Ly6k;","GO:0030317~flagellated sperm motility",1,73,1.36986301369863,0.432900378116437,0.469211194145811
"Epas1; Igf1;","GO:0030324~lung development",2,111,1.8018018018018,0.21310538311763,0.283097271297786
"Alox12; Aqp1; Col1a1; Csf1r; Igf1; Irs2; Mylk;","GO:0030335~positive regulation of cell migration",7,190,3.68421052631579,0.000806918034675697,0.0528175998978356
"Tifab;","GO:0030432~peristalsis",1,11,9.09090909090909,0.0877602473306471,0.168249414439295
"Dnajb9;","GO:0030433~ubiquitin-dependent ERAD pathway",1,60,1.66666666666667,0.373392878610322,0.416508872440887
"Hacd4;","GO:0030497~fatty acid elongation",1,7,14.2857142857143,0.0593925702484068,0.146276255933576
"Nfe2;","GO:0030502~negative regulation of bone mineralization",1,15,6.66666666666667,0.115277296922422,0.194408322775949
"Htra1;","GO:0030512~negative regulation of transforming growth factor beta receptor signaling pathway",1,55,1.81818181818182,0.348887256044038,0.395379065790225
"Htra1;","GO:0030514~negative regulation of BMP signaling pathway",1,50,2,0.323429147570616,0.372467594713846
"Ccl6; Ccl9; Cxcl2; Fcer1g; Fcgr3; Itgam;","GO:0030593~neutrophil chemotaxis",6,62,9.67741935483871,1.32928455240933e-05,0.0066131906482364
"Cxcl2;","GO:0030595~leukocyte chemotaxis",1,16,6.25,0.122026637274517,0.200027189601556
"Slc12a5;","GO:0030644~cellular chloride ion homeostasis",1,9,11.1111111111111,0.0736843521720593,0.156323945439657
"Tnf;","GO:0030730~sequestering of triglyceride",1,4,25,0.0375428967404717,0.128368323906424
"Ptgir;","GO:0030819~positive regulation of cAMP biosynthetic process",1,52,1.92307692307692,0.333729012913988,0.381240376405761
"Tagln;","GO:0030855~epithelial cell differentiation",1,43,2.32558139534884,0.286117298909127,0.340534344993519
"Cavin3; Tnf;","GO:0030866~cortical actin cytoskeleton organization",2,22,9.09090909090909,0.0142833226546786,0.120766874434933
"Igf1; Irs2;","GO:0030879~mammary gland development",2,38,5.26315789473684,0.0372954562608586,0.128368323906424
"Irs2;","GO:0030890~positive regulation of B cell proliferation",1,44,2.27272727272727,0.29157023343956,0.344993864562673
"Aqp1;","GO:0030950~establishment or maintenance of actin cytoskeleton polarity",1,5,20,0.044881610440662,0.132908340441841
"Ppp1r15a;","GO:0030968~endoplasmic reticulum unfolded protein response",1,46,2.17391304347826,0.302352193456331,0.354346799162603
"Igf1;","GO:0031017~exocrine pancreas development",1,10,10,0.0807490818296668,0.162313810950542
"Gda;","GO:0031116~positive regulation of microtubule polymerization",1,24,4.16666666666667,0.174210690959664,0.248337589548519
"Plk3;","GO:0031122~cytoplasmic microtubule organization",1,34,2.94117647058824,0.235124805812759,0.299550808941992
"Tifab;","GO:0031223~auditory behavior",1,6,16.6666666666667,0.0521646952141753,0.137676052355715
"Tnf;","GO:0031334~positive regulation of protein complex assembly",1,22,4.54545454545455,0.161461163273946,0.236603619230599
"Csf1r;","GO:0031529~ruffle organization",1,13,7.69230769230769,0.10162349771615,0.181210358830769
"Parvb;","GO:0031532~actin cytoskeleton reorganization",1,50,2,0.323429147570616,0.372467594713846
"Gas6;","GO:0031589~cell-substrate adhesion",1,18,5.55555555555556,0.135372143594329,0.211452563385177
"Tnf;","GO:0031622~positive regulation of fever generation",1,7,14.2857142857143,0.0593925702484068,0.146276255933576
"Fcer1g;","GO:0031623~receptor internalization",1,38,2.63157894736842,0.258220411791167,0.318375848490968
"Tnf;","GO:0031642~negative regulation of myelination",1,8,12.5,0.0665656515907663,0.150683519637438
"Trf;","GO:0031643~positive regulation of myelination",1,17,5.88235294117647,0.128724790863341,0.205587747847551
"Ank2;","GO:0031647~regulation of protein stability",1,70,1.42857142857143,0.419687083418144,0.459393452146373
"Tnf;","GO:0031663~lipopolysaccharide-mediated signaling pathway",1,29,3.44827586206897,0.205247683599223,0.2741227452097
"Irs2;","GO:0032000~positive regulation of fatty acid beta-oxidation",1,9,11.1111111111111,0.0736843521720593,0.156323945439657
"Gas6; Smcr8;","GO:0032008~positive regulation of TOR signaling",2,31,6.45161290322581,0.0261327159983189,0.12498912959955
"Ube2l6;","GO:0032020~ISG15-protein conjugation",1,5,20,0.044881610440662,0.132908340441841
"Irs2;","GO:0032024~positive regulation of insulin secretion",1,50,2,0.323429147570616,0.372467594713846
"Polg2;","GO:0032042~mitochondrial DNA metabolic process",1,4,25,0.0375428967404717,0.128368323906424
"Mylk;","GO:0032060~bleb assembly",1,11,9.09090909090909,0.0877602473306471,0.168249414439295
"Cald1;","GO:0032092~positive regulation of protein binding",1,72,1.38888888888889,0.428529518623579,0.465487850469935
"Gas6; Igf1;","GO:0032148~activation of protein kinase B activity",2,20,10,0.0120740033712359,0.120766874434933
"Nr1h3;","GO:0032270~positive regulation of cellular protein metabolic process",1,17,5.88235294117647,0.128724790863341,0.205587747847551
"Ndrg1;","GO:0032287~peripheral nervous system myelin maintenance",1,8,12.5,0.0665656515907663,0.150683519637438
"Nr1h3;","GO:0032369~negative regulation of lipid transport",1,5,20,0.044881610440662,0.132908340441841
"Nr1h3;","GO:0032376~positive regulation of cholesterol transport",1,4,25,0.0375428967404717,0.128368323906424
"Plk3;","GO:0032465~regulation of cytokinesis",1,21,4.76190476190476,0.155013212441001,0.230895428710772
"Cxcl2; Ppbp; Ptgir; Tnf;","GO:0032496~response to lipopolysaccharide",4,135,2.96296296296296,0.0219419853400931,0.120766874434933
"Ppp1r15a;","GO:0032515~negative regulation of phosphoprotein phosphatase activity",1,16,6.25,0.122026637274517,0.200027189601556
"Ppp1r15a;","GO:0032516~positive regulation of phosphoprotein phosphatase activity",1,13,7.69230769230769,0.10162349771615,0.181210358830769
"Nr1h3;","GO:0032570~response to progesterone",1,9,11.1111111111111,0.0736843521720593,0.156323945439657
"Gas6;","GO:0032689~negative regulation of interferon-gamma production",1,27,3.7037037037037,0.192974539273191,0.263749542001133
"Gas6; Tnf;","GO:0032715~negative regulation of interleukin-6 production",2,30,6.66666666666667,0.0246705634835828,0.12498912959955
"Gas6;","GO:0032720~negative regulation of tumor necrosis factor production",1,43,2.32558139534884,0.286117298909127,0.340534344993519
"Tnf;","GO:0032722~positive regulation of chemokine production",1,20,5,0.148515975665103,0.224921454774395
"Tnf;","GO:0032729~positive regulation of interferon-gamma production",1,52,1.92307692307692,0.333729012913988,0.381240376405761
"Fcer1g;","GO:0032733~positive regulation of interleukin-10 production",1,23,4.34782608695652,0.167860199822605,0.243470697993428
"Tnf;","GO:0032741~positive regulation of interleukin-18 production",1,3,33.3333333333333,0.0301481317627055,0.12498912959955
"Fcer1g; Tnf;","GO:0032755~positive regulation of interleukin-6 production",2,51,3.92156862745098,0.0618231795200833,0.150683519637438
"Tnf;","GO:0032757~positive regulation of interleukin-8 production",1,25,4,0.180513002792551,0.253329249335104
"Fcer1g;","GO:0032760~positive regulation of tumor necrosis factor production",1,58,1.72413793103448,0.36370263036397,0.407527159022691
"Hmox1;","GO:0032764~negative regulation of mast cell cytokine production",1,2,50,0.0226968899691784,0.120766874434933
"Fcer1g;","GO:0032765~positive regulation of mast cell cytokine production",1,2,50,0.0226968899691784,0.120766874434933
"Tnf;","GO:0032800~receptor biosynthetic process",1,3,33.3333333333333,0.0301481317627055,0.12498912959955
"Ptgs1;","GO:0032811~negative regulation of epinephrine secretion",1,6,16.6666666666667,0.0521646952141753,0.137676052355715
"Gas6;","GO:0032825~positive regulation of natural killer cell differentiation",1,11,9.09090909090909,0.0877602473306471,0.168249414439295
"Irs2;","GO:0032869~cellular response to insulin stimulus",1,76,1.31578947368421,0.445814555744781,0.481112237490301
"Igf1;","GO:0032878~regulation of establishment or maintenance of cell polarity",1,3,33.3333333333333,0.0301481317627055,0.12498912959955
"Cavin3;","GO:0032922~circadian regulation of gene expression",1,60,1.66666666666667,0.373392878610322,0.416508872440887
"Aqp1;","GO:0032940~secretion by cell",1,10,10,0.0807490818296668,0.162313810950542
"Col1a1; Serpinh1;","GO:0032964~collagen biosynthetic process",2,6,33.3333333333333,0.00156956997449442,0.0743677202200929
"Fcer1g;","GO:0033026~negative regulation of mast cell apoptotic process",1,4,25,0.0375428967404717,0.128368323906424
"Gas6; Ppp1r15a; Tnf;","GO:0033138~positive regulation of peptidyl-serine phosphorylation",3,78,3.84615384615385,0.0240763528874335,0.12498912959955
"Igf1;","GO:0033143~regulation of intracellular steroid hormone receptor signaling pathway",1,3,33.3333333333333,0.0301481317627055,0.12498912959955
"Gas6;","GO:0033159~negative regulation of protein import into nucleus, translocation",1,4,25,0.0375428967404717,0.128368323906424
"Igf1;","GO:0033160~positive regulation of protein import into nucleus, translocation",1,17,5.88235294117647,0.128724790863341,0.205587747847551
"P2rx1;","GO:0033198~response to ATP",1,18,5.55555555555556,0.135372143594329,0.211452563385177
"Tnf;","GO:0033209~tumor necrosis factor-mediated signaling pathway",1,27,3.7037037037037,0.192974539273191,0.263749542001133
"Ank2;","GO:0033292~T-tubule organization",1,2,50,0.0226968899691784,0.120766874434933
"Aqp1;","GO:0033363~secretory granule organization",1,4,25,0.0375428967404717,0.128368323906424
"Aqp1;","GO:0033554~cellular response to stress",1,8,12.5,0.0665656515907663,0.150683519637438
"Irs2;","GO:0033673~negative regulation of kinase activity",1,11,9.09090909090909,0.0877602473306471,0.168249414439295
"Lrp5;","GO:0033690~positive regulation of osteoblast proliferation",1,13,7.69230769230769,0.10162349771615,0.181210358830769
"Hmox1;","GO:0034101~erythrocyte homeostasis",1,12,8.33333333333333,0.0947182523945602,0.175829591665275
"Tnf;","GO:0034116~positive regulation of heterotypic cell-cell adhesion",1,11,9.09090909090909,0.0877602473306471,0.168249414439295
"Tnf;","GO:0034138~toll-like receptor 3 signaling pathway",1,9,11.1111111111111,0.0736843521720593,0.156323945439657
"Nr1h3;","GO:0034145~positive regulation of toll-like receptor 4 signaling pathway",1,10,10,0.0807490818296668,0.162313810950542
"Rsad2;","GO:0034157~positive regulation of toll-like receptor 7 signaling pathway",1,2,50,0.0226968899691784,0.120766874434933
"Rsad2;","GO:0034165~positive regulation of toll-like receptor 9 signaling pathway",1,4,25,0.0375428967404717,0.128368323906424
"Mttp;","GO:0034197~triglyceride transport",1,4,25,0.0375428967404717,0.128368323906424
"Nfe2;","GO:0034242~negative regulation of syncytium formation by plasma membrane fusion",1,2,50,0.0226968899691784,0.120766874434933
"Ifitm2;","GO:0034341~response to interferon-gamma",1,22,4.54545454545455,0.161461163273946,0.236603619230599
"Mttp;","GO:0034377~plasma lipoprotein particle assembly",1,1,100,0.015188742610548,0.120766874434933
"Ldlr;","GO:0034383~low-density lipoprotein particle clearance",1,11,9.09090909090909,0.0877602473306471,0.168249414439295
"Igf1;","GO:0034392~negative regulation of smooth muscle cell apoptotic process",1,8,12.5,0.0665656515907663,0.150683519637438
"Ank2;","GO:0034394~protein localization to cell surface",1,25,4,0.180513002792551,0.253329249335104
"Hmox1; Slc40a1;","GO:0034395~regulation of transcription from RNA polymerase II promoter in response to iron",2,3,66.6666666666667,0.000569071851659997,0.051080023435928
"Col1a1;","GO:0034504~protein localization to nucleus",1,37,2.7027027027027,0.252512336460656,0.312888885153615
"Col1a1;","GO:0034505~tooth mineralization",1,2,50,0.0226968899691784,0.120766874434933
"Srxn1;","GO:0034599~cellular response to oxidative stress",1,60,1.66666666666667,0.373392878610322,0.416508872440887
"Hmox1;","GO:0034605~cellular response to heat",1,39,2.56410256410256,0.263885154240616,0.322959075608133
"Ank2;","GO:0034613~cellular protein localization",1,56,1.78571428571429,0.353863426338795,0.3996527913815
"Aqp1;","GO:0034644~cellular response to UV",1,46,2.17391304347826,0.302352193456331,0.354346799162603
"Slc40a1;","GO:0034755~iron ion transmembrane transport",1,2,50,0.0226968899691784,0.120766874434933
"Ppp1r15a;","GO:0034976~response to endoplasmic reticulum stress",1,68,1.47058823529412,0.410708650117771,0.451552604273129
"Lrp5;","GO:0035019~somatic stem cell population maintenance",1,45,2.22222222222222,0.296981760765029,0.349700416522134
"Kalrn;","GO:0035023~regulation of Rho protein signal transduction",1,71,1.40845070422535,0.424125172064296,0.462217465721768
"Hmox1;","GO:0035094~response to nicotine",1,25,4,0.180513002792551,0.253329249335104
"Lrp5;","GO:0035108~limb morphogenesis",1,30,3.33333333333333,0.211314495174813,0.281093479544036
"Tifab;","GO:0035112~genitalia morphogenesis",1,3,33.3333333333333,0.0301481317627055,0.12498912959955
"Cln8; Kalrn;","GO:0035176~social behavior",2,47,4.25531914893617,0.0538015967313044,0.141620605152507
"P2rx1;","GO:0035249~synaptic transmission, glutamatergic",1,28,3.57142857142857,0.199134482494494,0.269576612356491
"Igf1; Slc12a5;","GO:0035264~multicellular organism growth",2,121,1.65289256198347,0.241160636080903,0.304511209264592
"Ppp1r15a;","GO:0035308~negative regulation of protein dephosphorylation",1,10,10,0.0807490818296668,0.162313810950542
"Aqp1;","GO:0035377~transepithelial water transport",1,2,50,0.0226968899691784,0.120766874434933
"Aqp1;","GO:0035378~carbon dioxide transmembrane transport",1,1,100,0.015188742610548,0.120766874434933
"Lrp5;","GO:0035426~extracellular matrix-cell signaling",1,4,25,0.0375428967404717,0.128368323906424
"Ifitm2;","GO:0035455~response to interferon-alpha",1,10,10,0.0807490818296668,0.162313810950542
